time,susceptible,exposed,infected,vaccinatedD1,vaccinatedD2,recovered,new_exposed,new_infected,new_recovered,deaths,error
385,0.04245576365035649,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9113378425099251,0.0,0.0,0.0,0.045873504002705935,0.9996810251722518
386,0.04243542632912422,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9113496167485333,0.0,0.0,0.0,0.045873504002705935,0.9996724620896277
387,0.042415089007891954,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9113667429137815,0.0,0.0,0.0,0.045873504002705935,0.9996692509336436
388,0.042399033227971734,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9113849394643577,0.0,0.0,0.0,0.045873504002705935,0.9996713917042996
389,0.04238725898936358,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9113935025469819,0.0,0.0,0.0,0.045873504002705935,0.9996681805483156
390,0.0423733439800994,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9114106287122301,0.0,0.0,0.0,0.045873504002705935,0.9996713917042996
391,0.042355147429523156,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.2844623936170782e-05,0.9114288252628063,0.0,0.0,0.0,0.045873504002705935,0.9996713917042996
392,0.042334810108290884,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9114448810427266,0.0,0.0,0.0,0.045873504002705935,0.9996660397776596
393,0.0423208950990267,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9114566552813347,0.0,0.0,0.0,0.045873504002705935,0.9996638990070035
394,0.04230162816312244,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.911480203758551,0.0,0.0,0.0,0.045873504002705935,0.9996681805483155
395,0.04228771315385826,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9114973299237993,0.0,0.0,0.0,0.045873504002705935,0.9996713917042996
396,0.042265235061969955,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9115144560890475,0.0,0.0,0.0,0.045873504002705935,0.9996660397776596
397,0.04224810889672173,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9115358637956078,0.0,0.0,0.0,0.045873504002705935,0.9996703213189716
398,0.04222884196081748,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.911557271502168,0.0,0.0,0.0,0.045873504002705935,0.9996724620896277
399,0.04221920849286535,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9115711865114322,0.0,0.0,0.0,0.045873504002705935,0.9996767436309397
400,0.042198871171633075,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9115861719060244,0.0,0.0,0.0,0.045873504002705935,0.9996713917042996
401,0.04218174500638485,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9116097203832407,0.0,0.0,0.0,0.045873504002705935,0.9996778140162677
402,0.04215926691449655,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.911628987319145,0.0,0.0,0.0,0.045873504002705935,0.9996746028602836
403,0.04214963344654442,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9116461134843933,0.0,0.0,0.0,0.045873504002705935,0.9996820955575798
404,0.042137859207936265,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9116621692643134,0.0,0.0,0.0,0.045873504002705935,0.9996863770988919
405,0.04211859227203201,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9116782250442337,0.0,0.0,0.0,0.045873504002705935,0.9996831659429078
406,0.04210574764809584,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.911698562365466,0.0,0.0,0.0,0.045873504002705935,0.9996906586402039
407,0.0420875510975196,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9117199700720262,0.0,0.0,0.0,0.045873504002705935,0.9996938697961879
408,0.042072565702927396,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9117381666226024,0.0,0.0,0.0,0.045873504002705935,0.9996970809521719
409,0.042052228381695124,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9117520816318666,0.0,0.0,0.0,0.045873504002705935,0.9996906586402039
410,0.04203403183111888,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9117713485677709,0.0,0.0,0.0,0.045873504002705935,0.9996917290255318
411,0.0420201168218547,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9117874043476911,0.0,0.0,0.0,0.045873504002705935,0.9996938697961879
412,0.042004061041934486,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9117959674303152,0.0,0.0,0.0,0.045873504002705935,0.9996863770988919
413,0.04198800526201427,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9118173751368756,0.0,0.0,0.0,0.045873504002705935,0.9996917290255319
414,0.04196231601414193,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9118409236140919,0.0,0.0,0.0,0.045873504002705935,0.9996895882548759
415,0.041945189848893706,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.911854838623356,0.0,0.0,0.0,0.045873504002705935,0.9996863770988919
416,0.041935556380941576,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9118826686418844,0.0,0.0,0.0,0.045873504002705935,0.9997045736494681
417,0.04191950060102136,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9119083578897568,0.0,0.0,0.0,0.045873504002705935,0.9997142071174202
418,0.04190558559175718,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9119212025136929,0.0,0.0,0.0,0.045873504002705935,0.9997131367320922
419,0.04188952981183696,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9119426102202531,0.0,0.0,0.0,0.045873504002705935,0.9997184886587323
420,0.04186598133462065,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9119597363855014,0.0,0.0,0.0,0.045873504002705935,0.9997120663467642
421,0.041856347866668524,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9119736513947656,0.0,0.0,0.0,0.045873504002705935,0.9997163478880763
422,0.04183922170142029,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.177423860815655e-05,0.9119886367893578,0.0,0.0,0.0,0.045873504002705935,0.9997142071174202
423,0.0418242363068281,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.0703853280142318e-05,0.912002551798622,0.0,0.0,0.0,0.045873504002705935,0.9997120663467642
424,0.0418092509122359,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.0703853280142318e-05,0.9120196779638702,0.0,0.0,0.0,0.045873504002705935,0.9997142071174202
425,0.041784632049691565,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.0703853280142318e-05,0.9120421560557586,0.0,0.0,0.0,0.045873504002705935,0.9997120663467642
426,0.04176322434313128,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.0703853280142318e-05,0.9120603526063348,0.0,0.0,0.0,0.045873504002705935,0.9997088551907801
