time,susceptible,exposed,vaccinatedD1,vaccinatedD2,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
168,0.0,0.07284959031406171,1.345493454678903e-07,0.7586371765896248,0.048565249873271335,0.11368713307973025,0.006777452355235836,0.0058921849367298525,0.004611947914602876,0.006260917417984606,1.0000002018240182
169,0.0,0.07375295461953313,1.345493454678903e-07,0.7517809455926175,0.049551362026205505,0.11841203516985341,0.006855894623643616,0.005952395768826733,0.00472490209012317,0.006502298943754,0.999999730901309
170,0.0,0.07471424241822848,6.727467273394515e-08,0.7448499724342028,0.050429767428092624,0.12325695527613394,0.006931174982432901,0.005969887183737559,0.004844920106280528,0.006748927893996643,0.9999999327253272
171,0.0,0.07563294534908323,6.727467273394515e-08,0.737860133937146,0.05129660158626951,0.12821038942953433,0.006989905771729635,0.0060712028408748805,0.004953366878727648,0.006999795148621525,0.9999999327253273
172,0.0,0.07650199957146034,6.727467273394515e-08,0.7308203776329204,0.0521537481915727,0.13326863752305418,0.007039890853570956,0.006170634807175651,0.00505844991753807,0.007254900707628645,0.999999730901309
173,0.0,0.0772247313806411,6.727467273394515e-08,0.7238314137066091,0.05301190391696691,0.13841757187541942,0.006989165750329562,0.006266433941148789,0.005148934352365226,0.00751451366970894,1.0000002018240182
174,0.0,0.07790958754907266,6.727467273394515e-08,0.7167981157709661,0.05384214065317652,0.14367179109061326,0.007033163386297562,0.0063483072178660005,0.0052544210392120524,0.0077781631121532704,0.9999998654506544
175,0.0,0.07854654415051766,6.727467273394515e-08,0.7097307768509197,0.0546314743883639,0.14904555739925535,0.007067473469391874,0.006430449593274147,0.005373295385932933,0.008045916309634372,1.0000003363733638
176,0.0,0.07894743392533925,6.727467273394515e-08,0.7028100294427605,0.055399885700331025,0.15452507949343516,0.006920680133486405,0.006519655809319359,0.005479454819507098,0.008317504163461309,1.0
177,0.0,0.07930089505588339,6.727467273394515e-08,0.695864592229708,0.05613714883882233,0.16010436992727944,0.0069453699383797635,0.006591841533162882,0.005579223159171539,0.00859292667363408,1.0
178,0.0,0.07959360715694878,6.727467273394515e-08,0.6889001835589446,0.056872662835822554,0.16576142988280415,0.006964274121418002,0.0066715620203526066,0.005656925406179246,0.008872251114825421,1.0000002018240182
179,0.0,0.07987172065403092,6.727467273394515e-08,0.6819184180226158,0.0575743376724376,0.17148031526257138,0.006981832811001561,0.006703853863264901,0.0057189526544399434,0.00915514111367166,1.0
